author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Stockton, Ronald R.",https://hdl.handle.net/2027.42/171089,Presentation,Social Sciences,Dearborn,2021-12-27,en_US,"Archbishop Desmond Tutu, a Moral Giant.  Text of a podcast.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Stockton, Ronald R.",https://hdl.handle.net/2027.42/171090,Presentation,Political Science,Dearborn,2021-12-27,en_US,"Will Roe Survive?  The MIssissippi Challenge, 2021","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Wilkinson, Bruce H.",https://hdl.handle.net/2027.42/171083,Article,Science,Ann Arbor,2021-12-23,en_US,Dimensions of Sedimentary Lithotopes and Taxonomies of Fishes,"Zoology, University of Michigan Museum of (UMMZ)",Peer Reviewed
"Robinson-Lane, Sheria",https://hdl.handle.net/2027.42/171081,Book chapter,Health Sciences,Ann Arbor,2021-12-22,en_US,"“Ooh, You Got to Holler Sometime” Pain Meaning and Experiences of Black Older Adults","Nursing, School of",
"De Geronimo, Francesca",https://hdl.handle.net/2027.42/171080,Other,Health Sciences,Ann Arbor,2021-12-21,en_US,Peer Group Therapy for Adolescent Substance Misuse Treatment: A Scoping Review Protocol,"Nursing, School of",
"Alejo Giraldo, Dimitri Esteban",https://hdl.handle.net/2027.42/171087,Article,Business and Economics,Ann Arbor,2021-12-21,en_US,Transcending Organizational Models: Chasing examples and Identifying attributes,"Business, Stephen M. Ross School of",
"Arlinghaus, Sandra",https://hdl.handle.net/2027.42/171078,Project,Social Sciences,Ann Arbor,2021-12-20,en_US,"Solstice:  An Electronic Journal of Geography and Mathematics:  Vol. 32, No. 2","Mathematical Geography, Institute of (IMaGe)",Peer Reviewed
"Roytburd, Benjamin",https://hdl.handle.net/2027.42/170914,Thesis,,,2021-12-19,en_US,An Embedded Deep Learning Computer Vision Method for Driver Distraction Detection,Dissertations and Theses (Ph.D. and Master's),
"Hamzeh, Yazan F.",https://hdl.handle.net/2027.42/170924,Thesis,,,2021-12-19,en_US,Influence of Rain on Vision-Based Algorithms in the Automotive Domain,Dissertations and Theses (Ph.D. and Master's),
"Abid, Chaima",https://hdl.handle.net/2027.42/171082,Thesis,,,2021-12-19,en_US,"Explainable, Security-Aware and Dependency-Aware Framework for Intelligent Software Refactoring",Dissertations and Theses (Ph.D. and Master's),
"Li, Yijun",https://hdl.handle.net/2027.42/170078,Thesis,,,2021-12-18,en_US,Application of Model-based Control in Autonomous Vehicle Chassis Control and Motion Planning,Dissertations and Theses (Ph.D. and Master's),
"Ramakrishnan, Monish Urapakam",https://hdl.handle.net/2027.42/170776,Thesis,,,2021-12-18,en_US,Analysis of Tubular Adhesive Joints in Aluminum and Composite Structures under Crush and Tensile Loads,Dissertations and Theses (Ph.D. and Master's),
"Bell, Loriann M.",https://hdl.handle.net/2027.42/170779,Thesis,,,2021-12-18,en_US,The Superintendent and the Curriculum Director: A Grounded Theory to Support the Development of a Collaborative Relationship,Dissertations and Theses (Ph.D. and Master's),
"Almhana, Rafi",https://hdl.handle.net/2027.42/170906,Thesis,,,2021-12-18,en_US,"Intelligent Software Bugs Localization, Triage and Prioritization",Dissertations and Theses (Ph.D. and Master's),
"Papasian-Broadwell, Megan",https://hdl.handle.net/2027.42/170916,Thesis,,,2021-12-18,en_US,On-Time Graduation Rates in a Suburban Secondary School: A Mixed-Methods Study Examining Factors that Impact Student Academic Achievement and Graduation,Dissertations and Theses (Ph.D. and Master's),
"Shi, Zunya",https://hdl.handle.net/2027.42/169487,Thesis,,,2021-12-17,en_US,Deep Learning Approaches for Condition Monitoring and Prognostic Analysis,Dissertations and Theses (Ph.D. and Master's),
"Rebai, Soumaya",https://hdl.handle.net/2027.42/169486,Thesis,,,2021-12-17,en_US,Commits Analysis for Software Refactoring Documentation and Recommendation,Dissertations and Theses (Ph.D. and Master's),
"Lykourentzou, Ioanna",http://dx.doi.org/10.37725/mgmt.v24.8373,Article,Social Science,Ann Arbor,2021-12-15,en_US,Unleashing the Potential of Crowd Work: The Need for a Post-Taylorism Crowdsourcing Model,"Information, School of (SI)",Peer Reviewed
"Malani, Preeti",https://hdl.handle.net/2027.42/171073,Other,Health Sciences,Ann Arbor,2021-12-14,en_US,National Poll on Healthy Aging: Joy and Stress During the COVID-19 Pandemic,Institute for Healthcare Policy & Innovation (IHPI),
"Herbst, Patricio",https://hdl.handle.net/2027.42/171072,Conference Paper,Social Sciences,Ann Arbor,2021-12-12,en_US,"Framing, normativity, and serviceability in teachers’ decision-making during lessons","Education, School of",Peer Reviewed
"Duanmu, San & YI Li",https://hdl.handle.net/2027.42/171071,Dataset,Humanities,Ann Arbor,2021-12-11,en_US,Phonology Inventory Database of China,"Linguistics, Department of",
"Lavender, Kathryn",https://hdl.handle.net/2027.42/171064,Presentation,Social Sciences,Ann Arbor,2021-12-07,en_US,Analyzing Longitudinal Aging Studies within an Interoperability Environment: The NACDA Data Portal,Inter-university Consortium for Political and Social Research (ICPSR),
"Stoddard, Sarah",https://hdl.handle.net/2027.42/171061,Other,Health Sciences,Ann Arbor,2021-12-07,en_US,Cumulative adverse childhood experiences (ACEs) and school outcomes during adolescence: A scoping review protocol,"Nursing, School of",
"García Mazari, Sheila",https://hdl.handle.net/2027.42/170912,Book chapter,Social Sciences,Ann Arbor,2021-12-03,en_US,Cultivating Critical Mass: Building an Omnidirectional Mentoring Community,Library (University of Michigan Library),
"Courtright, Thomas",https://hdl.handle.net/2027.42/171067,Project,Arts,Ann Arbor,2021-12-01,en_US,Moving in Growing Cities: Barriers to Accessibility in Fort Portal and Mbale,"Architecture and Urban Planning, A. Alfred Taubman College of",
"Satola, Alexander",https://hdl.handle.net/2027.42/169414,Thesis,,Ann Arbor,2021-12,,"Technology, domination and liberty: liberalism and republicanism confronted with technological change",Honors Theses (Bachelor's),
"Kalb, Samuel",https://hdl.handle.net/2027.42/171074,Thesis,,,2021-12,en_US,Climatic and environmental drivers of extinction in Mediterranean island reptiles since the height of the last Ice Age,Dissertations and Theses (Ph.D. and Master's),
"Hutchens, Kate",https://hdl.handle.net/2027.42/171066,Practicum,,,2021-12,en_US,Detroit-Upper Peninsula Energy Burden Survey: a research project report and initial analysis of results,Dissertations and Theses (Ph.D. and Master's),
"Umberfield, Elizabeth E.",https://hdl.handle.net/2027.42/170913,Other,Health Sciences,Ann Arbor,2021-12,en_US,"Appendices for Article: ""Evaluating and extending the Informed Consent Ontology for representing permissions from the clinical domain""","Nursing, School of",Peer Reviewed
"Dorado, Teresa",https://hdl.handle.net/2027.42/171065,Thesis,,,2021-12,en_US,Azteca sericeasur nest patterns in a conventional and organic coffee farm,Dissertations and Theses (Ph.D. and Master's),
"McMichael, Brennan",https://hdl.handle.net/2027.42/170931,Other,Health Sciences,Ann Arbor,2021-11-30,en_US,Financial Literacy Survey Instrument,"Surgery, Department of",
"Harber, Isabelle",https://hdl.handle.net/2027.42/171056,Article,,,2021-11-26,,Colorectal Cancer Screening: Impact of COVID-19 Pandemic and Possible Consequences,"Pathology, Department of",
"ZHANG, QIAONING",https://hdl.handle.net/2027.42/170928,Article,Social Science,Ann Arbor,2021-11-23,en_US,What and when to explain? A survey of the impact of explanation on attitudes towards adopting automated vehicles,"Information, School of (SI)",Peer Reviewed
"Samuel, Sara",https://hdl.handle.net/2027.42/171055,Presentation,Social Sciences,Ann Arbor,2021-11-19,en_US,NIH's New Data Management and Sharing Policy—How Academic Medical Centers Can Prepare for January 2023,Library (University of Michigan Library),
"Malani, Preeti",https://hdl.handle.net/2027.42/170915,Other,Health Sciences,Ann Arbor,2021-11-17,en_US,National Poll on Healthy Aging: Planning for Health Care Needs Before Traveling,Institute for Healthcare Policy & Innovation (IHPI),
"Scheuher, Joel",https://hdl.handle.net/2027.42/170920,Presentation,Business and Economics,Ann Arbor,2021-11-12,en_US,Tax Diversification Strategies and Tax Research,"Business, Stephen M. Ross School of, Kresge Business Library - Papers & Presentation Series",
"Etz, Rebecca",https://hdl.handle.net/2027.42/170910,Preprint,Health Sciences,Ann Arbor,2021-11-09,en_US,"Quick COVID-19 Primary Care Weekly Survey, Telemedicine/Health Equity Series 1, March-May, 2021",COVID-19: Annals of Family Medicine,
"Etz, Rebecca",https://hdl.handle.net/2027.42/170911,Preprint,Health Sciences,Ann Arbor,2021-11-09,en_US,"Quick COVID-19 Primary Care Weekly Survey, Telemedicine/Health Equity Series 2",COVID-19: Annals of Family Medicine,
"Ko, Inah",https://hdl.handle.net/2027.42/171077,Article,Social Sciences,Ann Arbor,2021-11-06,en_US,Understanding the Characteristics of Mathematical Content Knowledge for Teaching Algebra in High Schools and Community Colleges,"Education, School of",Peer Reviewed
"Torney-Purta, Judith",https://hdl.handle.net/2027.42/170908,Poster,Social Sciences,Ann Arbor,2021-11-03,en_US,Opportunities for Moral Education Researchers to Use Archived Civic Education Data with a Social Justice Emphasis,Inter-university Consortium for Political and Social Research (ICPSR),
"Jaigarun, Patcharee",https://hdl.handle.net/2027.42/170782,Other,Health Sciences,Ann Arbor,2021-11-01,en_US,Exploring Digital School-based Interventions for Alcohol Prevention  Among Adolescents: A Scoping Review Protocol,"Nursing, School of",
"Owens, Tiffany",https://hdl.handle.net/2027.42/170780,Preprint,Health Sciences,Ann Arbor,2021-10-29,en_US,Response To The Pandemic: Housing For Health In The Va Tent Community,COVID-19: Annals of Family Medicine,
"Marcotte, John",https://hdl.handle.net/2027.42/170777,Poster,Social Sciences,Ann Arbor,2021-10-28,en_US,Challenges for Online Research Data Enclaves,Inter-university Consortium for Political and Social Research (ICPSR),
"Etz, Rebecca",https://hdl.handle.net/2027.42/170757,Preprint,Health Sciences,Ann Arbor,2021-10-25,en_US,"Quick Covid-19 Primary Care Survey, Series 31",COVID-19: Annals of Family Medicine,
"Seeman, Corey",https://hdl.handle.net/2027.42/170719,Presentation,Business and Economics,Ann Arbor,2021-10-22,en_US,Providing Clarity: Value of Information Centers in the Sustainability of Business Schools.,"Business, Stephen M. Ross School of, Kresge Business Library - Papers & Presentation Series",
"Gunning, Sandra",https://hdl.handle.net/2027.42/170929,Book,Social Sciences,Ann Arbor,2021-10-22,en_US,"Moving Home: Gender, Place, and Travel Writing in the Early Black Atlantic",Michigan Publishing (MPublishing),Peer Reviewed
"Herrero-Olaizola, Alejandro",https://hdl.handle.net/2027.42/170926,Book,Humanities,Ann Arbor,2021-10-19,en_US,Commodifying Violence in Literature and on Screen: The Colombian Condition,"Romance Languages and Literatures, Department of",Peer Reviewed
"Chauvier, Adrien",https://hdl.handle.net/2027.42/170438,Article,Science,Ann Arbor,2021-10-14,en_US,Dynamic competition between a ligand and transcription factor NusA governs riboswitch-mediated transcription regulation,"Chemistry, Department of",Peer Reviewed
"Ali, Arsha",https://hdl.handle.net/2027.42/170403,Conference Paper,Social Science,Ann Arbor,2021-10-09,en_US,Using Trust for Heterogeneous Human-Robot Team Task Allocation,"Information, School of (SI)",Peer Reviewed
"Zhang, Qiaoning",https://hdl.handle.net/2027.42/170376,Conference Paper,Social Science,Ann Arbor,2021-10-08,en_US,From the Head or the Heart? An Experimental Design on the Impact of Explanation on Cognitive and Affective Trust,"Information, School of (SI)",Peer Reviewed
"Malani, Preeti",https://hdl.handle.net/2027.42/170320,Other,Health Sciences,Ann Arbor,2021-10-07,en_US,National Poll on Healthy Aging: Home Blood Pressure Monitoring Among Older Adults,Institute for Healthcare Policy & Innovation (IHPI),
"Stockton, Ronald",https://hdl.handle.net/2027.42/169438,Presentation,Political Science,Dearborn,2021-10-03,en_US,September 11.  The Days After. Text of a podcast,"Social Sciences: Political Science, Department of (UM-Dearborn)",
"Leslie, Myles",https://hdl.handle.net/2027.42/170143,Preprint,Health Sciences,Ann Arbor,2021-10-01,en_US,Improving Conversations with COVID-19 Vaccine Hesitant Patients: Action research to support family physicians,COVID-19: Annals of Family Medicine,
"Kessentini, Marouane",https://hdl.handle.net/2027.42/170552,Article,Engineering,Dearborn,2021-10-01,en_US,"Search-Based Software Bugs Localization, Triage and Prioritization","Computer and Information Science, Department of (UM-Dearborn)",
"Haimson, Oliver L.",https://hdl.handle.net/2027.42/169587,Article,Social Science,Ann Arbor,2021-10,en_US,"Disproportionate Removals and Differing Content Moderation Experiences for Conservative, Transgender, and Black Social Media Users: Marginalization and Moderation Gray Areas","Information, School of (SI)",Peer Reviewed
"Haimson, Oliver L.",https://hdl.handle.net/2027.42/169586,Article,Social Science,Ann Arbor,2021-10,en_US,"The Online Authenticity Paradox: What Being “Authentic” on Social Media Means, and Barriers to Achieving It","Information, School of (SI)",Peer Reviewed
"Etz, Rebecca",https://hdl.handle.net/2027.42/170402,Preprint,Health Sciences,Ann Arbor,2021-09-30,en_US,"Quick Covid-19 Primary Care Survey, Series 30",COVID-19: Annals of Family Medicine,
"Kenbubpha, Kedsaraporn",https://hdl.handle.net/2027.42/170137,Plan or blueprint,Health Sciences,Ann Arbor,2021-09-30,en_US,Protocol for a scoping review: An Internet-delivered of mindfulness-based interventions,"Nursing, School of",
"Sujimongkol, Chinakorn",https://hdl.handle.net/2027.42/170116,Plan or blueprint,Health Sciences,Ann Arbor,2021-09-29,en_US,A Scoping Review of the Association Between Ambient Particulate Matter and Chronic Kidney Disease,"Nursing, School of",
"Levenstein, Margaret C.",https://hdl.handle.net/2027.42/170117,Other,Social Sciences,Ann Arbor,2021-09-28,en_US,ICPSR Response to NIH RFI on Consent Statements,Inter-university Consortium for Political and Social Research (ICPSR),
"Seeman, Corey",https://hdl.handle.net/2027.42/170082,Presentation,Business and Economics,Ann Arbor,2021-09-28,en_US,Rules & Regulations and Reality: Rethinking Reference Work in the Library of the Future,"Business, Stephen M. Ross School of, Kresge Business Library - Papers & Presentation Series",
"Varnum, Kenneth J.",https://hdl.handle.net/2027.42/169599,Presentation,Social Sciences,Ann Arbor,2021-09-22,en_US,Realizing the Untapped Potential of VR/AR for Libraries,Library (University of Michigan Library),
"Esterwood, Connor",https://hdl.handle.net/2027.42/169549,Article,Social Science,Ann Arbor,2021-09-17,en_US,A Systematic Review of Human and Robot Personality in Healthcare Human-Robot Interaction,"Information, School of (SI)",Peer Reviewed
"Bookman, Lindsey",https://hdl.handle.net/2027.42/169509,Thesis,Social Sciences,Dearborn,2021-09-15,en_US,The Role of Self-Efficacy in the Variation of Health Outcomes Late in Life,"Psychology, Department of (UM-Dearborn)",
"Thrasher, Sally",https://hdl.handle.net/2027.42/169544,Thesis,Social Sciences,Dearborn,2021-09-15,en_US,Effects of Resilience and Psychological Defenses on the Relationship Between Emotional Distress & Gastrointestinal Health,"Psychology, Department of (UM-Dearborn)",
"Kuribayashi, Shichie J.",https://hdl.handle.net/2027.42/169545,Thesis,Social Sciences,Dearborn,2021-09-15,en_US,Effects of Facilitated Emotional Disclosure on Psychological and Cardiovascular Reactivity in Alexithymia,"Psychology, Department of (UM-Dearborn)",
"Alter, Gabrielle",https://hdl.handle.net/2027.42/169548,Thesis,Social Sciences,Dearborn,2021-09-15,en_US,The Impact of Religious Music on Chronic Pain Perception,"Psychology, Department of (UM-Dearborn)",
"Giraud, Charles",https://hdl.handle.net/2027.42/169546,Thesis,Social Sciences,Dearborn,2021-09-15,en_US,"Discrimination, Concealment, & Multiple Minority Status within LGBTQ+ Populations","Psychology, Department of (UM-Dearborn)",
"Malani, Preeti",https://hdl.handle.net/2027.42/169362,Other,Health Sciences,Ann Arbor,2021-09-09,en_US,National Poll on Healthy Aging: Saving for Future Health Care Expenses,Institute for Healthcare Policy & Innovation (IHPI),
"Kapaon, David",https://hdl.handle.net/2027.42/169437,Presentation,Social Sciences,Ann Arbor,2021-09-09,en_US,HAALSI - Health and Aging in Africa: A Longitudinal Study of an INDEPTH Community in South Africa,Inter-university Consortium for Political and Social Research (ICPSR),
"Stockton, Ronald",https://hdl.handle.net/2027.42/169233,Conference Paper,Political Science,Dearborn,2021-09-07,en_US,"September 11,  Contemporaneous Observations from the Day, 20 Years After","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Leen, Mary",https://hdl.handle.net/2027.42/169219,Preprint,Health Sciences,Ann Arbor,2021-09-03,en_US,COVID-19 Enhanced Home Care Treatment Model: A Primary Care and Accountable Care Organization Collaboration,COVID-19: Annals of Family Medicine,
"Stockton, Ronald",https://hdl.handle.net/2027.42/169179,Article,Political Science,Dearborn,2021-09-01,en_US,"Review of Rubber Bullets, Power and Conscience in Modern Israel by Yaron Ezrahi, University of California Press, Berkeley, 1997.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Stockton, Ronald",https://hdl.handle.net/2027.42/169180,Article,Political Science,Dearborn,2021-09-01,en_US,"Review of H. V Savich, Cities in a Time of Terror.  Space, Territory and Local Resilience.  Routledge, 2008.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Stockton, Ronald",https://hdl.handle.net/2027.42/169205,Article,Social Sciences,Dearborn,2021-09-01,en_US,"Review of Gershom Gorenberg, The End of Days.  Fundamentalism and the Struggle for the Temple Mount.  Free Press, 2001.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Stockton, Ronald",https://hdl.handle.net/2027.42/169206,Article,Political Science,Dearborn,2021-09-01,en_US,"Review of Eliot Dickinson, Copts in Michigan, Discovering the Peoples of Michigan, MSU press, 2008.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Stockton, Ronald",https://hdl.handle.net/2027.42/169204,Article,Political Science,Dearborn,2021-09-01,en_US,"Review of David W. Lesch, The Arab-Israeli Conflict. Oxford University Press, 2007","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Nikkhah Shirazi, Armin",https://hdl.handle.net/2027.42/169167,Article,,Ann Arbor,2021-08-31,en_US,The Unactualized Certainty-Actuality Correspondence,"Physics, Department of",
"Etz, Rebecca",https://hdl.handle.net/2027.42/169165,Preprint,Health Sciences,Ann Arbor,2021-08-30,en_US,"COVID-19 Patient Primary Care Survey, Series 7, Fielded May 13-26th, 2021",COVID-19: Annals of Family Medicine,
"Stepanyan, Gevorg",https://hdl.handle.net/2027.42/168149,Thesis,,,2021-08-25,en_US,Preference Ambiguity Averse Decision Making Using Robust Optimization and Sensitivity Analysis,Dissertations and Theses (Ph.D. and Master's),
"Padmanaban, Gandhimathi",https://hdl.handle.net/2027.42/169161,Thesis,Industrial and Operations Engineering,,2021-08-25,,Computational Human Performance Modeling using Queuing Network in an Open-Source Platform,Dissertations and Theses (Ph.D. and Master's),
"Solocinski, Jason",https://hdl.handle.net/2027.42/168173,Thesis,,,2021-08-25,en_US,Mitochondria: Bioenergetics and Predictive Therapeutics Using Vibrational Spectroscopy,Dissertations and Theses (Ph.D. and Master's),
"Reimann, Ella",https://hdl.handle.net/2027.42/169159,Thesis,Computer Engineering,,2021-08-25,,Providing Real-Time Exercise Feedback to Patients Undergoing Physical Therapy,Dissertations and Theses (Ph.D. and Master's),
"Liu, Xuesen",https://hdl.handle.net/2027.42/169162,Thesis,Industrial and Operations Engineering,,2021-08-25,,Investigation of Tilt Gesture Interaction to Manipulate Text Property in Mobile Device,Dissertations and Theses (Ph.D. and Master's),
"Fennessey, John",https://hdl.handle.net/2027.42/169160,Thesis,Natural Resources and Environment,,2021-08-25,,Halophyte Resilience to Roadside Salinity in Urban Southeastern Michigan,Dissertations and Theses (Ph.D. and Master's),
"Smith, Ronald Grant",https://hdl.handle.net/2027.42/169157,Thesis,Electrical Engineering,,2021-08-25,,A Linear Parameter-Varying Control Method for Inline Wheel Systems,Dissertations and Theses (Ph.D. and Master's),
"Doubblestein, David Aaron",https://hdl.handle.net/2027.42/170080,Thesis,,,2021-08-25,en_US,The Status of Lymphology Education and Practice in Physical Therapy,Dissertations and Theses (Ph.D. and Master's),
"Zhang, Qiaoning",https://hdl.handle.net/2027.42/168566,Article,Social Science,Ann Arbor,2021-08-18,en_US,Individual Differences and Expectations of Automated Vehicles,"Information, School of (SI)",Peer Reviewed
"Ha, Emmeline",https://hdl.handle.net/2027.42/168565,Preprint,Health Sciences,Ann Arbor,2021-08-17,en_US,Addressing COVID-19 Immunization Disparities through Targeted Primary Care Outreach,COVID-19: Annals of Family Medicine,
"Pienta, Amy",https://hdl.handle.net/2027.42/168545,Working Paper,Social Sciences,Ann Arbor,2021-08-15,en_US,ICPSR Working Paper 3:  Technical Requirements for the DevEEG Archive at ICPSR,Inter-university Consortium for Political and Social Research (ICPSR),
"Yin, Yafeng",https://hdl.handle.net/2027.42/168542,Technical Report,Engineering,Ann Arbor,2021-08-06,en_US,2021 International Symposium on Transportation Data and Modelling,Civil & Environmental Engineering (CEE),
"Bozadjieva-Kramer, Nadejda",https://hdl.handle.net/2027.42/169579,Article,,,2021-08-06,,Intestinal-derived FGF15 protects against deleterious effects of vertical sleeve gastrectomy in mice,"Surgery, Department of",
"Gharahi, Hamidreza",https://hdl.handle.net/2027.42/168539,Preprint,Engineering,Ann Arbor,2021-08-05,en_US,Multiscale model of the physiological control of myocardial perfusion to delineate putative metabolic feedback mechanisms,"Biomedical Engineering, Department of",
"Malani, Preeti",https://hdl.handle.net/2027.42/168424,Other,Health Sciences,Ann Arbor,2021-08-03,en_US,National Poll on Healthy Aging: Physical Functioning and Falls During the COVID-19 Pandemic,Institute for Healthcare Policy & Innovation (IHPI),
"Etz, Rebecca",https://hdl.handle.net/2027.42/168425,Preprint,Health Sciences,Ann Arbor,2021-08-03,en_US,"COVID-19 Patient Primary Care Survey, Series 4 Fielded August 17th, 2020",COVID-19: Annals of Family Medicine,
"Stockton, Ronald",https://hdl.handle.net/2027.42/168423,Article,Social Sciences,Dearborn,2021-08-01,en_US,"Two Kenya Stories:  Giant Jungle Ants; Toad in Stomach, Beetle in River.","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Kessentini, Marouane",https://hdl.handle.net/2027.42/170139,Article,Engineering,Dearborn,2021-08-01,en_US,Intelligent Change Operators for Search Based Refactoring,"Computer and Information Science, Department of (UM-Dearborn)",
"Kessentini, Marouane",https://hdl.handle.net/2027.42/170138,Article,Engineering,Dearborn,2021-08-01,en_US,Refactorings and Technical Debt for Docker Projects,"Computer and Information Science, Department of (UM-Dearborn)",
"Changalvala, Raghavendar",https://hdl.handle.net/2027.42/167387,Thesis,,,2021-08,en_US,Sensor Data Integrity Verification for Real-time and Resource Constrained Systems,Dissertations and Theses (Ph.D. and Master's),
"Mawri, Jalal",https://hdl.handle.net/2027.42/169403,Thesis,,Ann Arbor,2021-08,,Ansar Allah in Yemen: History and Ideology,Honors Theses (Bachelor's),
"Reed, Matthew P",https://hdl.handle.net/2027.42/168421,Technical Report,Engineering,Ann Arbor,2021-08,,Occupant Dynamics During Crash Avoidance Maneuvers,Transportation Research Institute (UMTRI),
"Weltin, Heather",https://hdl.handle.net/2027.42/169166,Book chapter,Social Sciences,Ann Arbor,2021-07-29,en_US,"Old Texts, New Networks: HathiTrust and the Future of Shared Print",Library (University of Michigan Library),
"Lagisetty, Pooja",https://hdl.handle.net/2027.42/168420,Other,Health Sciences,Ann Arbor,2021-07-28,en_US,Improving Access to Primary and Pain Care for Patients Taking Opioids for Chronic Pain in Michigan: Recommendations from an Expert Panel,Institute for Healthcare Policy & Innovation (IHPI),
"Etz, Rebecca",https://hdl.handle.net/2027.42/168418,Preprint,Health Sciences,Ann Arbor,2021-07-27,en_US,"Quick Covid-19 Primary Care Survey, Series 29",COVID-19: Annals of Family Medicine,
"Etz, Rebecca",https://hdl.handle.net/2027.42/168419,Preprint,Health Sciences,Ann Arbor,2021-07-27,en_US,"COVID-19 Patient Primary Care Survey, Series 6",COVID-19: Annals of Family Medicine,
"Lafia, Sara",https://hdl.handle.net/2027.42/168392,Preprint,Social Sciences,Ann Arbor,2021-07-22,en_US,Detecting Informal Data References in Academic Literature,Institute for Social Research (ISR),
"Cho, Chun-Seok",https://hdl.handle.net/2027.42/168395,Other,Health Sciences,Ann Arbor,2021-07-19,en_US,Seq-Scope protocol in MiSeq system for profiling hepatic and colonic spatial transcriptome.,"Molecular and Integrative Physiology, Department of",
"Robinson, Kwame",https://hdl.handle.net/2027.42/168412,Conference Paper,Social Science,Ann Arbor,2021-07-19,en_US,Extrapolating significance of text-based autonomous vehicle scenarios to multimedia scenarios and implications for user-centered design,"Information, School of (SI)",Peer Reviewed
"Esterwood, Connor",https://doi.org/10.1109/RO-MAN50785.2021.9515365,Conference Paper,Social Science,Ann Arbor,2021-07-14,en_US,Do You Still Trust Me? Human-Robot Trust Repair Strategies,"Information, School of (SI)",Peer Reviewed
"Esterwood, Connor",https://hdl.handle.net/2027.42/168397,Conference Paper,Social Science,Ann Arbor,2021-07-14,en_US,Birds of a Feather Flock Together: But do Humans and Robots? A Meta-Analysis of Human and Robot Personality Matching,"Information, School of (SI)",Peer Reviewed
"Hicks, Patrice",https://hdl.handle.net/2027.42/168393,Project,Health Sciences,Ann Arbor,2021-07-09,en_US,Loss to follow-up barriers in care for Cornea Ulcers and Glaucoma: A Scoping Review Protocol,Ophthalmology and Visual Sciences,
"Kessentini, Marouane",https://hdl.handle.net/2027.42/170141,Article,Engineering,Dearborn,2021-07-01,en_US,Explainable Search-Based Refactoring,"Computer and Information Science, Department of (UM-Dearborn)",
"McCaffrey, Deb",https://youtu.be/62cPDh7E-Ao,Video,,Ann Arbor,2021-07,en_US,Research Liaisons: the next layer of Facilitation,Health Information Technology & Services,Peer Reviewed
"Stockton, Ronald",https://hdl.handle.net/2027.42/168233,Conference Paper,Political Science,Dearborn,2021-06-28,en_US,"Henry Ford, the McGuffey Readers, and the Jews.  The Baldwin Thesis","Social Sciences: Political Science, Department of (UM-Dearborn)",
"Chakrabarty, Prosanta",https://hdl.handle.net/2027.42/168230,Article,Science,Ann Arbor,2021-06-23,en_US,PRELIMINARY CHECKLIST OF THE UNDERSEA FAUNA OF THE ROSS SEA ANTARCTIC CONTINENTAL SHELF BASED ON YO-YO CAMERA SURVEYS,"Zoology, University of Michigan Museum of (UMMZ)",Peer Reviewed
"Jayaraman, Suresh",https://hdl.handle.net/2027.42/167860,Conference Paper,Social Science,Ann Arbor,2021-06-21,en_US,Automated Vehicle Behavior Design for Pedestrian Interactions at Unsignalized Crosswalks,"Information, School of (SI)",Peer Reviewed
"Arlinghaus, Sandra",https://hdl.handle.net/2027.42/168218,Map,Social Sciences,Ann Arbor,2021-06-20,en_US,"Solstice:  An Electronic Journal of Geography and Mathematics:  Vol. 32, No. 1","Mathematical Geography, Institute of (IMaGe)",Peer Reviewed
"Hemphill, Libby",https://hdl.handle.net/2027.42/168212,Preprint,Social Sciences,Ann Arbor,2021-06-17,en_US,"How do properties of data, their curation, and their funding relate to reuse?",Inter-university Consortium for Political and Social Research (ICPSR),
"Reiman-Sendi, Karen A",https://hdl.handle.net/2027.42/168416,Project,Social Sciences,Ann Arbor,2021-06-16,en_US,Instruction Assessment Task Force Final Report,Library (University of Michigan Library),
"Cao, Yining",https://hdl.handle.net/2027.42/168148,Conference Paper,Social Science,Ann Arbor,2021-06-14,en_US,Towards standardized metrics for measuring takeover performance in conditionally automated driving: A systematic review,"Information, School of (SI)",Peer Reviewed
"Wen, Shih-Cheng",https://hdl.handle.net/2027.42/169155,Article,Health Sciences,Ann Arbor,2021-06-14,en_US,Surgical reconstructive treatment for infraosseous peri-implantitis defects with a submerged healing approach: A prospective controlled study,"Dentistry, School of",Peer Reviewed
"Malani, Preeti",https://hdl.handle.net/2027.42/167901,Other,Health Sciences,Ann Arbor,2021-06-09,en_US,National Poll on Healthy Aging: Alcohol Use Among Older Adults,Institute for Healthcare Policy & Innovation (IHPI),
"McVety, Charlene C.",https://hdl.handle.net/2027.42/168227,Thesis,,,2021-06-08,en_US,Effects of Parental Mental Health on Children in a Worldwide Pandemic,Dissertations and Theses (Ph.D. and Master's),
